samples	group
Sample1436	PCOS
Sample1437	PCOS
Sample1445	PCOS
Sample1447	PCOS
Sample1451	PCOS
Sample1452	PCOS
Sample1454	PCOS
Sample1455	PCOS
Sample1456	PCOS
Sample1457	PCOS
Sample1458	PCOS
Sample1459	PCOS
Sample1460	PCOS
Sample1461	PCOS
Sample1462	PCOS
Sample1463	PCOS
Sample1465	PCOS
Sample1466	PCOS
Sample1467	PCOS
Sample1468	PCOS
Sample1469	PCOS
Sample1470	PCOS
Sample1471	PCOS
Sample1472	PCOS
Sample1489	PCOS
Sample1490	PCOS
Sample1491	PCOS
Sample1493	PCOS
Sample1494	PCOS
Sample1495	PCOS
Sample1497	PCOS
Sample1498	PCOS
Sample1499	PCOS
Sample1500	PCOS
Sample1519	PCOS
Sample1520	PCOS
Sample1521	PCOS
Sample1523	PCOS
Sample1524	PCOS
Sample1525	PCOS
Sample1526	PCOS
Sample1527	PCOS
Sample1528	PCOS
Sample1529	PCOS
Sample1530	PCOS
Sample1531	PCOS
Sample1532	PCOS
Sample1534	PCOS
Sample1535	PCOS
Sample1536	PCOS
Sample1537	PCOS
Sample1538	PCOS
Sample1542	PCOS
Sample1543	PCOS
Sample1544	PCOS
Sample1545	PCOS
Sample1546	PCOS
Sample1547	PCOS
Sample1548	PCOS
Sample1549	PCOS
Sample1550	PCOS
Sample1551	PCOS
Sample1552	PCOS
Sample1553	PCOS
Sample1554	PCOS
Sample1555	PCOS
Sample1556	PCOS
Sample1557	PCOS
Sample1558	PCOS
Sample1559	PCOS
Sample1560	PCOS
Sample1561	PCOS
Sample1562	PCOS
Sample1563	PCOS
Sample1564	PCOS
Sample1565	PCOS
Sample1566	PCOS
Sample1567	PCOS
Sample1568	PCOS
Sample1576	PCOS
Sample1585	PCOS
Sample1586	PCOS
Sample1587	PCOS
Sample1588	PCOS
Sample1589	PCOS
Sample1596	PCOS
Sample1597	PCOS
Sample1598	PCOS
Sample1599	PCOS
Sample1601	PCOS
Sample1602	PCOS
Sample1603	PCOS
Sample1604	PCOS
Sample1605	PCOS
Sample1606	PCOS
Sample1607	PCOS
Sample1608	PCOS
Sample1609	PCOS
Sample1610	PCOS
Sample1612	PCOS
Sample1613	PCOS
Sample1614	PCOS
